urlname,parentname,baseref,valid,result,warning,info,url,name
https://catalogue.ejpsoil.eu/static/favicon.ico,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://catalogue.ejpsoil.eu/static/favicon.ico,10
https://catalogue.ejpsoil.eu/collections/metadata:main/items/10.5281-zenodo.6511048,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,404 NOT FOUND,,,False,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/10.5281-zenodo.6511048,13
https://cdn.jsdelivr.net/npm/bootstrap@5.1.0/dist/css/bootstrap.min.css,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://cdn.jsdelivr.net/npm/bootstrap@5.1.0/dist/css/bootstrap.min.css,16
https://catalogue.ejpsoil.eu/collections/metadata:main,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://catalogue.ejpsoil.eu/collections/metadata%3Amain,15
https://unpkg.com/leaflet@1.7.1/dist/leaflet.css,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css,19
https://cdn.jsdelivr.net/npm/bootstrap@5.1.0/dist/js/bootstrap.bundle.min.js,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://cdn.jsdelivr.net/npm/bootstrap@5.1.0/dist/js/bootstrap.bundle.min.js,17
https://code.jquery.com/jquery-3.6.0.js,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://code.jquery.com/jquery-3.6.0.js,20
https://unpkg.com/leaflet@1.7.1/dist/leaflet.js,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://unpkg.com/leaflet@1.7.1/dist/leaflet.js,21
https://ejpsoil.eu,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://ejpsoil.eu,40
https://ejpsoil.eu/fileadmin/projects/ejpsoil/EJP_Soil_logo_cmyk-h100.png,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://ejpsoil.eu/fileadmin/projects/ejpsoil/EJP_Soil_logo_cmyk-h100.png,40
https://catalogue.ejpsoil.eu,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://catalogue.ejpsoil.eu,50
https://github.com/ejpsoil/ejpsoildatahub/tree/main/datasets/research/EJP Research/10.5281-zenodo.6511048.yml,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,Redirected to `https://github.com/ejpsoil/ejpsoildatahub/blob/main/datasets/research/EJP%20Research/10.5281-zenodo.6511048.yml' status: 301 Moved Permanently.,,True,https://github.com/ejpsoil/ejpsoildatahub/blob/main/datasets/research/EJP%20Research/10.5281-zenodo.6511048.yml,14
https://catalogue.ejpsoil.eu/collections,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://catalogue.ejpsoil.eu/collections,51
https://catalogue.ejpsoil.eu/collections/metadata:main/items,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items,53
https://catalogue.ejpsoil.eu/collections/metadata:main/items/doi.org-10.5281-zenodo.6511048,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048,54
https://doi.org/10.5281/zenodo.6511047,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,"""Redirected to `https://zenodo.org/doi/10.5281/zenodo.6511047' status: 302 Found.",,,,
http://doi.org/10.5281/zenodo.6511048,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,"""Redirected to `https://doi.org/10.5281/zenodo.6511048' status: 301 Moved Permanently.",,,,
https://ejpsoil.github.io/ejpsoildatahub/about.html,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://ejpsoil.github.io/ejpsoildatahub/about.html,61
https://orcid.org/0000-0002-9117-7543,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://orcid.org/0000-0002-9117-7543,187
https://cordis.europa.eu/project/id/862695,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://cordis.europa.eu/project/id/862695,390
https://ejpsoil.eu/fileadmin/_processed_/0/3/csm_Horizon_2020_funding_Thumbnail_a20cd538b7.jpg,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://ejpsoil.eu/fileadmin/_processed_/0/3/csm_Horizon_2020_funding_Thumbnail_a20cd538b7.jpg,391
https://pycsw.org,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://pycsw.org,393
https://orcid.org/0000-0002-5918-4161,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://orcid.org/0000-0002-5918-4161,165
https://catalogue.ejpsoil.eu/static/logo-horizontal.png,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/doi.org-10.5281-zenodo.6511048?f=html,,200 OK,,,True,https://catalogue.ejpsoil.eu/static/logo-horizontal.png,393
https://catalogue.ejpsoil.eu/collections/metadata:main/items/Rete-di-Informazione-Contabile-Agricola-%28Farms-Agronomical-Mangement-database%29?f=html,,,200 OK,,,True,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,
https://catalogue.ejpsoil.eu/collections/metadata:main/items/Rete-di-Informazione-Contabile-A,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,404 NOT FOUND,,,False,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-A,11
https://catalogue.ejpsoil.eu/static/favicon.ico,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,200 OK,,,True,https://catalogue.ejpsoil.eu/static/favicon.ico,10
https://cdn.jsdelivr.net/npm/bootstrap@5.1.0/dist/js/bootstrap.bundle.min.js,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,200 OK,,,True,https://cdn.jsdelivr.net/npm/bootstrap@5.1.0/dist/js/bootstrap.bundle.min.js,15
https://catalogue.ejpsoil.eu/collections/metadata:main,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,200 OK,,,True,https://catalogue.ejpsoil.eu/collections/metadata%3Amain,13
https://cdn.jsdelivr.net/npm/bootstrap@5.1.0/dist/css/bootstrap.min.css,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,200 OK,,,True,https://cdn.jsdelivr.net/npm/bootstrap@5.1.0/dist/css/bootstrap.min.css,14
https://unpkg.com/leaflet@1.7.1/dist/leaflet.js,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,200 OK,,,True,https://unpkg.com/leaflet@1.7.1/dist/leaflet.js,19
https://unpkg.com/leaflet@1.7.1/dist/leaflet.css,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,200 OK,,,True,https://unpkg.com/leaflet@1.7.1/dist/leaflet.css,17
https://code.jquery.com/jquery-3.6.0.js,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,200 OK,,,True,https://code.jquery.com/jquery-3.6.0.js,18
https://ejpsoil.eu,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,200 OK,,,True,https://ejpsoil.eu,38
https://github.com/ejpsoil/ejpsoildatahub/tree/main/datasets/countries/Italy/Rete-di-Informazione-Contabile-A.yml,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,200 OK,Redirected to `https://github.com/ejpsoil/ejpsoildatahub/blob/main/datasets/countries/Italy/Rete-di-Informazione-Contabile-A.yml' status: 301 Moved Permanently.,,True,https://github.com/ejpsoil/ejpsoildatahub/blob/main/datasets/countries/Italy/Rete-di-Informazione-Contabile-A.yml,12
https://catalogue.ejpsoil.eu,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,200 OK,,,True,https://catalogue.ejpsoil.eu,48
https://ejpsoil.eu/fileadmin/projects/ejpsoil/EJP_Soil_logo_cmyk-h100.png,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,200 OK,,,True,https://ejpsoil.eu/fileadmin/projects/ejpsoil/EJP_Soil_logo_cmyk-h100.png,38
https://catalogue.ejpsoil.eu/collections,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,200 OK,,,True,https://catalogue.ejpsoil.eu/collections,49
https://catalogue.ejpsoil.eu/collections/metadata:main/items,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,200 OK,,,True,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items,51
https://catalogue.ejpsoil.eu/collections/metadata:main/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database),https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,200 OK,,,True,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database),52
https://ejpsoil.github.io/ejpsoildatahub/about.html,https://catalogue.ejpsoil.eu/collections/metadata%3Amain/items/Rete-di-Informazione-Contabile-Agricola-(Farms-Agronomical-Mangement-database)?f=html,,200 OK,,,True,https://ejpsoil.github.io/ejpsoildatahub/about.html,59
